Started Parsing raw log files
Number of files: 2
Opened Keyboard.log
NewTask 2 | added to current participant
EndDragBlock 414664954 | added to current participant
CreateBlock 256450975 | added to current participant
StartDragBlock 256450975 | added to current participant
EndDragBlock 256450975 | added to current participant
StartDragBlock 256450975 | added to current participant
EndDragBlock 256450975 | added to current participant
CreateBlock 1016427031 | added to current participant
StartDragBlock 1016427031 | added to current participant
EndDragBlock 1016427031 | added to current participant
StartDragBlock 1016427031 | added to current participant
EndDragBlock 1016427031 | added to current participant
StartDragBlock 1016427031 | added to current participant
EndDragBlock 1016427031 | added to current participant
StartDragBlock 1016427031 | added to current participant
EndDragBlock 1016427031 | added to current participant
CreateBlock 328726125 | added to current participant
StartDragBlock 328726125 | added to current participant
EndDragBlock 328726125 | added to current participant
CreateBlock 994302556 | added to current participant
StartDragBlock 994302556 | added to current participant
EndDragBlock 994302556 | added to current participant
NewTask 46 | added to current participant
CreateBlock 274222735 | added to current participant
StartDragBlock 274222735 | added to current participant
EndDragBlock 274222735 | added to current participant
CreateBlock 1912263874 | added to current participant
StartDragBlock 1912263874 | added to current participant
EndDragBlock 1912263874 | added to current participant
CreateBlock 2130752140 | added to current participant
StartDragBlock 2130752140 | added to current participant
EndDragBlock 2130752140 | added to current participant
CreateBlock 615450553 | added to current participant
StartDragBlock 615450553 | added to current participant
EndDragBlock 615450553 | added to current participant
CreateBlock 74257302 | added to current participant
StartDragBlock 74257302 | added to current participant
EndDragBlock 74257302 | added to current participant
StartDragBlock 74257302 | added to current participant
EndDragBlock 74257302 | added to current participant
CreateBlock 433098847 | added to current participant
StartDragBlock 433098847 | added to current participant
EndDragBlock 433098847 | added to current participant
CreateBlock 835241460 | added to current participant
StartDragBlock 835241460 | added to current participant
EndDragBlock 835241460 | added to current participant
CreateBlock 1887902631 | added to current participant
StartDragBlock 1887902631 | added to current participant
EndDragBlock 1887902631 | added to current participant
CreateBlock 894574251 | added to current participant
StartDragBlock 894574251 | added to current participant
EndDragBlock 894574251 | added to current participant
CreateBlock 1104753908 | added to current participant
StartDragBlock 1104753908 | added to current participant
EndDragBlock 1104753908 | added to current participant
CreateBlock 1093775894 | added to current participant
StartDragBlock 1093775894 | added to current participant
EndDragBlock 1093775894 | added to current participant
StartDragBlock 1104753908 | added to current participant
EndDragBlock 1104753908 | added to current participant
CreateBlock 798282988 | added to current participant
StartDragBlock 798282988 | added to current participant
EndDragBlock 798282988 | added to current participant
NewTask 41 | added to current participant
CreateBlock 1601747574 | added to current participant
StartDragBlock 1601747574 | added to current participant
EndDragBlock 1601747574 | added to current participant
CreateBlock 1581241198 | added to current participant
StartDragBlock 1581241198 | added to current participant
EndDragBlock 1581241198 | added to current participant
CreateBlock 2001722747 | added to current participant
StartDragBlock 2001722747 | added to current participant
EndDragBlock 2001722747 | added to current participant
CreateBlock 874514600 | added to current participant
StartDragBlock 874514600 | added to current participant
EndDragBlock 874514600 | added to current participant
StartDragBlock 874514600 | added to current participant
EndDragBlock 874514600 | added to current participant
CreateBlock 902758657 | added to current participant
StartDragBlock 902758657 | added to current participant
EndDragBlock 902758657 | added to current participant
StartDragBlock 902758657 | added to current participant
EndDragBlock 902758657 | added to current participant
StartDragBlock 902758657 | added to current participant
EndDragBlock 902758657 | added to current participant
StartDragBlock 874514600 | added to current participant
EndDragBlock 874514600 | added to current participant
StartDragBlock 902758657 | added to current participant
EndDragBlock 902758657 | added to current participant
CreateBlock 1286237438 | added to current participant
StartDragBlock 1286237438 | added to current participant
EndDragBlock 1286237438 | added to current participant
StartDragBlock 1286237438 | added to current participant
EndDragBlock 1286237438 | added to current participant
StartDragBlock 1286237438 | added to current participant
EndDragBlock 1286237438 | added to current participant
StartDragBlock 1286237438 | added to current participant
EndDragBlock 1286237438 | added to current participant
StartDragBlock 1286237438 | added to current participant
EndDragBlock 1286237438 | added to current participant
CreateBlock 898531462 | added to current participant
StartDragBlock 898531462 | added to current participant
EndDragBlock 898531462 | added to current participant
StartDragBlock 898531462 | added to current participant
EndDragBlock 898531462 | added to current participant
StartDragBlock 898531462 | added to current participant
EndDragBlock 898531462 | added to current participant
CreateBlock 1648736174 | added to current participant
