Started Parsing raw log files
Number of files: 2
Opened 1.log.log
NewTask 2 | added to participant #1
MoveBlock 668289079 | added to participant #1
EndDragBlock 668289079 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 626836922 | added to participant #1
StartDragBlock 626836922 | added to participant #1
MoveBlock 626836922 | added to participant #1
MouseClick | added to participant #1
MoveBlock 626836922 | added to participant #1
MoveBlock 626836922 | added to participant #1
MoveBlock 626836922 | added to participant #1
MoveBlock 626836922 | added to participant #1
MoveBlock 626836922 | added to participant #1
MoveBlock 626836922 | added to participant #1
MoveBlock 626836922 | added to participant #1
EndDragBlock 626836922 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 529033504 | added to participant #1
StartDragBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MouseClick | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
MoveBlock 529033504 | added to participant #1
EndDragBlock 529033504 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 750714109 | added to participant #1
StartDragBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
MouseClick | added to participant #1
MoveBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
MoveBlock 750714109 | added to participant #1
EndDragBlock 750714109 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 323996741 | added to participant #1
StartDragBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MouseClick | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
MoveBlock 323996741 | added to participant #1
EndDragBlock 323996741 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 719598710 | added to participant #1
StartDragBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MouseClick | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
MoveBlock 719598710 | added to participant #1
EndDragBlock 719598710 | added to participant #1
MouseReleased | added to participant #1
MouseClick | added to participant #1
CreateBlock 1123042802 | added to participant #1
StartDragBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
MoveBlock 1123042802 | added to participant #1
EndDragBlock 1123042802 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 354729496 | added to participant #1
StartDragBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
MouseClick | added to participant #1
MoveBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
